timestamp,sensor_id,sensor_type,district,edge_node,priority,reading,network_delay_ms,event_label,missing_flag,rolling_mean,rolling_std,z_score,minute_of_day,is_peak_hour,batch_bucket,pred_event,messages_sent_to_cloud,edge_compute_ms,cloud_compute_ms,estimated_latency_ms,method
2026-01-01 00:00:00,S0000,energy,residential,edge_residential,1,65.94602649396609,120.41778865994283,0,0,65.94602649396609,0.0,0.0,0,0,2026-01-01 00:00:00,0,1,0.0,33.0,900448.6177886599,cloud_only_batch_etl
2026-01-01 00:01:00,S0000,energy,residential,edge_residential,1,71.28428130160884,87.42079922483808,0,0,68.61515389778747,3.774716174185881,0.7071065938594582,1,0,2026-01-01 00:00:00,0,1,0.0,33.0,840415.6207992248,cloud_only_batch_etl
2026-01-01 00:02:00,S0000,energy,residential,edge_residential,1,67.35105257324513,115.5385784595477,0,0,68.19378678960669,2.767108927635511,-0.30455393475519704,2,0,2026-01-01 00:00:00,0,1,0.0,33.0,780443.7385784595,cloud_only_batch_etl
2026-01-01 00:03:00,S0000,energy,residential,edge_residential,1,70.95995440092514,99.1827784779625,0,0,68.8853286924363,2.649059334633756,0.7831553254432252,3,0,2026-01-01 00:00:00,0,1,0.0,33.0,720427.382778478,cloud_only_batch_etl
2026-01-01 00:04:00,S0000,energy,residential,edge_residential,1,63.13861892945841,66.75450385887866,0,0,67.73598673984073,3.4450066964795245,-1.3345014628212284,4,0,2026-01-01 00:00:00,0,1,0.0,33.0,660394.9545038588,cloud_only_batch_etl
2026-01-01 00:05:00,S0000,energy,residential,edge_residential,1,124.59161745594817,72.3562636868421,1,0,77.2119251925253,23.414843887274323,2.023489478214444,5,0,2026-01-01 00:00:00,1,1,0.0,33.0,600400.5562636867,cloud_only_batch_etl
2026-01-01 00:06:00,S0000,energy,residential,edge_residential,1,69.21547838779112,88.72204134714461,0,0,76.06957564899184,21.587353533457208,-0.3175051973403171,6,0,2026-01-01 00:00:00,0,1,0.0,33.0,540416.9220413471,cloud_only_batch_etl
2026-01-01 00:07:00,S0000,energy,residential,edge_residential,1,75.85066093074978,81.22345063677501,0,0,76.04221130921158,19.98615566789005,-0.009584152753567918,7,0,2026-01-01 00:00:00,0,1,0.0,33.0,480409.4234506368,cloud_only_batch_etl
2026-01-01 00:08:00,S0000,energy,residential,edge_residential,1,77.39482449526231,80.98922283517865,0,0,76.19250166321723,18.70077273264546,0.06429267843320406,8,0,2026-01-01 00:00:00,0,1,0.0,33.0,420409.1892228352,cloud_only_batch_etl
2026-01-01 00:09:00,S0000,energy,residential,edge_residential,1,62.6477304814805,74.27590091250899,0,0,74.83802454504355,18.144071422654513,-0.6718609681221492,9,0,2026-01-01 00:00:00,0,1,0.0,33.0,360402.47590091254,cloud_only_batch_etl
2026-01-01 00:10:00,S0000,energy,residential,edge_residential,1,65.88643661455774,43.8304728851801,0,0,74.83206555710271,18.147325766119476,-0.49294472171219156,10,0,2026-01-01 00:00:00,0,1,0.0,33.0,300372.0304728852,cloud_only_batch_etl
2026-01-01 00:11:00,S0000,energy,residential,edge_residential,1,74.60109246326068,75.49134713158617,0,0,75.1637466732679,18.105540416535845,-0.031076353756167505,11,0,2026-01-01 00:00:00,0,1,0.0,33.0,240403.6913471316,cloud_only_batch_etl
2026-01-01 00:12:00,S0000,energy,residential,edge_residential,1,58.83052063859719,35.637570721544805,0,0,74.31169347980311,18.70463840610278,-0.8276648645872777,12,0,2026-01-01 00:00:00,0,1,0.0,33.0,180363.83757072155,cloud_only_batch_etl
2026-01-01 00:13:00,S0000,energy,residential,edge_residential,1,68.07137262373645,87.43639137569875,0,0,74.02283530208425,18.7842858090152,-0.31683197445066114,13,0,2026-01-01 00:00:00,0,1,0.0,33.0,120415.6363913757,cloud_only_batch_etl
2026-01-01 00:14:00,S0000,energy,residential,edge_residential,1,70.33200653900232,65.47884425144588,0,0,74.74217406303862,18.456032162277133,-0.23895533158503293,14,0,2026-01-01 00:00:00,0,1,0.0,33.0,60393.678844251444,cloud_only_batch_etl
2026-01-01 00:15:00,S0000,energy,residential,edge_residential,1,78.52313680217307,65.69166547655715,0,0,70.13532599766111,6.521113489208007,1.2862541852919778,15,0,2026-01-01 00:15:00,0,1,0.0,33.0,900393.8916654765,cloud_only_batch_etl
2026-01-01 00:16:00,S0000,energy,residential,edge_residential,1,75.1827705095864,75.61392408740042,0,0,70.73205520984064,6.698208792083257,0.6644634070742532,16,0,2026-01-01 00:15:00,0,1,0.0,33.0,840403.8139240873,cloud_only_batch_etl
2026-01-01 00:17:00,S0000,energy,residential,edge_residential,1,69.1483468315978,85.45344692591728,0,0,70.06182379992545,6.460219427593398,-0.14140027860751142,17,0,2026-01-01 00:15:00,0,1,0.0,33.0,780413.6534469259,cloud_only_batch_etl
2026-01-01 00:18:00,S0000,energy,residential,edge_residential,1,68.96543107131792,51.3598764452809,0,0,69.218884457531,5.924840606781147,-0.04277808640875681,18,0,2026-01-01 00:15:00,0,1,0.0,33.0,720379.5598764452,cloud_only_batch_etl
2026-01-01 00:19:00,S0000,energy,residential,edge_residential,1,69.74095070957551,45.02797620893187,0,0,69.9282064803405,5.45684826836883,-0.034315730846816404,19,0,2026-01-01 00:15:00,0,1,0.0,33.0,660373.2279762089,cloud_only_batch_etl
2026-01-01 00:20:00,S0000,energy,residential,edge_residential,1,80.44851254395184,58.67868257000373,0,0,71.38441407327993,6.156570723875818,1.4722639282379189,20,0,2026-01-01 00:15:00,0,1,0.0,33.0,600386.87868257,cloud_only_batch_etl
2026-01-01 00:21:00,S0000,energy,residential,edge_residential,1,68.80437462451383,39.16544951602553,0,0,70.80474228940524,6.092615362744735,-0.3283265424560959,21,0,2026-01-01 00:15:00,0,1,0.0,33.0,540367.365449516,cloud_only_batch_etl
2026-01-01 00:22:00,S0000,energy,residential,edge_residential,1,69.61560395761498,60.66300780221404,0,0,71.88325062130701,4.478093855832663,-0.5063864738681121,22,0,2026-01-01 00:15:00,0,1,0.0,33.0,480388.8630078022,cloud_only_batch_etl
2026-01-01 00:23:00,S0000,energy,residential,edge_residential,1,73.61835532789274,111.81766061045931,0,0,72.43794889172264,4.293188325672929,0.2749486096761133,23,0,2026-01-01 00:15:00,0,1,0.0,33.0,420440.0176606105,cloud_only_batch_etl
2026-01-01 00:24:00,S0000,energy,residential,edge_residential,1,70.84330427849608,58.86828167005896,0,0,72.48907866567203,4.268293305928666,-0.3855812812368549,24,0,2026-01-01 00:15:00,0,1,0.0,33.0,360387.06828167004,cloud_only_batch_etl
2026-01-01 00:25:00,S0000,energy,residential,edge_residential,1,70.44929775498514,93.02810349800367,0,0,71.68169476095322,3.729717156119319,-0.33042630954462276,25,0,2026-01-01 00:15:00,0,1,0.0,33.0,300421.228103498,cloud_only_batch_etl
2026-01-01 00:26:00,S0000,energy,residential,edge_residential,1,65.01364534761227,52.5673038346973,0,0,70.66478224475581,4.04229516085102,-1.3980016981125443,26,0,2026-01-01 00:15:00,0,1,0.0,33.0,240380.7673038347,cloud_only_batch_etl
2026-01-01 00:27:00,S0000,energy,residential,edge_residential,1,71.69393215363628,85.98240305144988,0,0,70.91934077695967,4.016257575522094,0.1928639210128341,27,0,2026-01-01 00:15:00,0,1,0.0,33.0,180414.18240305147,cloud_only_batch_etl
2026-01-01 00:28:00,S0000,energy,residential,edge_residential,1,69.16655281323071,73.60532375574635,0,0,70.93945295115094,4.0058759858894595,-0.44257478304131675,28,0,2026-01-01 00:15:00,0,1,0.0,33.0,120401.80532375575,cloud_only_batch_etl
2026-01-01 00:29:00,S0000,energy,residential,edge_residential,1,78.88975119417879,78.80374428931454,0,0,71.85433299961127,4.68833257765435,1.5006223593175823,29,0,2026-01-01 00:15:00,0,1,0.0,33.0,60407.00374428931,cloud_only_batch_etl
2026-01-01 00:30:00,S0000,energy,residential,edge_residential,1,75.87642389950776,91.37555188735082,0,0,71.39712413516685,3.9165043219922873,1.143698117602029,30,0,2026-01-01 00:30:00,0,1,0.0,33.0,900419.5755518873,cloud_only_batch_etl
2026-01-01 00:31:00,S0000,energy,residential,edge_residential,1,71.87790227604624,115.12480250632359,0,0,71.70447690032009,3.809566836136812,0.045523635012106906,31,0,2026-01-01 00:30:00,0,1,0.0,33.0,840443.3248025062,cloud_only_batch_etl
2026-01-01 00:32:00,S0000,energy,residential,edge_residential,1,76.09788265400505,83.89412699666548,0,0,72.3527047699591,3.9630491283987705,0.945024100807714,32,0,2026-01-01 00:30:00,0,1,0.0,33.0,780412.0941269966,cloud_only_batch_etl
2026-01-01 00:33:00,S0000,energy,residential,edge_residential,1,70.11317201958879,82.4871790279219,0,0,72.0021864391287,3.993561904276856,-0.4730148152961112,33,0,2026-01-01 00:30:00,0,1,0.0,33.0,720410.6871790278,cloud_only_batch_etl
2026-01-01 00:34:00,S0000,energy,residential,edge_residential,1,78.52989931750584,60.5326456503537,0,0,72.77084594302968,4.458406334362434,1.2917288490195156,34,0,2026-01-01 00:30:00,0,1,0.0,33.0,660388.7326456503,cloud_only_batch_etl
2026-01-01 00:35:00,S0000,energy,residential,edge_residential,1,72.249453428819,91.66679310664665,0,0,72.95086151041308,4.390073290960036,-0.1597713467032685,35,0,2026-01-01 00:30:00,0,1,0.0,33.0,600419.8667931065,cloud_only_batch_etl
2026-01-01 00:36:00,S0000,energy,residential,edge_residential,1,119.42256079963111,75.07855338909458,1,0,78.39175305561496,14.81006083656945,2.770468361090948,36,0,2026-01-01 00:30:00,1,1,0.0,33.0,540403.278553389,cloud_only_batch_etl
2026-01-01 00:37:00,S0000,energy,residential,edge_residential,1,64.66577901211647,96.64014085816859,0,0,77.68893774146298,15.321166124735704,-0.850010878630838,37,0,2026-01-01 00:30:00,0,1,0.0,33.0,480424.8401408582,cloud_only_batch_etl
2026-01-01 00:38:00,S0000,energy,residential,edge_residential,1,74.55579438118075,79.12587099030054,0,0,78.22786189825797,15.080982626322934,-0.24348992135153938,38,0,2026-01-01 00:30:00,0,1,0.0,33.0,420407.3258709903,cloud_only_batch_etl
2026-01-01 00:39:00,S0000,energy,residential,edge_residential,1,62.41101785353612,114.81711407619702,0,0,76.57998856419371,15.879770239112007,-0.8922654172598721,39,0,2026-01-01 00:30:00,0,1,0.0,33.0,360443.0171140762,cloud_only_batch_etl
2026-01-01 00:40:00,S0000,energy,residential,edge_residential,1,60.39274899536436,40.34166993725068,0,0,75.03162107377938,16.690187497749978,-0.8770944726231522,40,0,2026-01-01 00:30:00,0,1,0.0,33.0,300368.54166993726,cloud_only_batch_etl
2026-01-01 00:41:00,S0000,energy,residential,edge_residential,1,70.842291915839,74.06801279689851,0,0,74.92806003775866,16.715124608326782,-0.24443538251871083,41,0,2026-01-01 00:30:00,0,1,0.0,33.0,240402.2680127969,cloud_only_batch_etl
2026-01-01 00:42:00,S0000,energy,residential,edge_residential,1,67.33396723679064,97.62963277602519,0,0,74.05166849603721,16.875951512990472,-0.39806353176660897,42,0,2026-01-01 00:30:00,0,1,0.0,33.0,180425.82963277603,cloud_only_batch_etl
2026-01-01 00:43:00,S0000,energy,residential,edge_residential,1,73.78217731440435,72.98615605830025,0,0,74.41856902551876,16.82060365621708,-0.03783405674891692,43,0,2026-01-01 00:30:00,0,1,0.0,33.0,120401.18615605829,cloud_only_batch_etl
2026-01-01 00:44:00,S0000,energy,residential,edge_residential,1,86.33067468956446,64.15653861989078,0,0,75.19864656272463,17.208861997293198,0.6468776076949881,44,0,2026-01-01 00:30:00,0,1,0.0,33.0,60392.35653861989,cloud_only_batch_etl
2026-01-01 00:45:00,S0000,energy,residential,edge_residential,1,67.93601574176942,74.68238788520836,0,0,74.76730279401967,17.34452162310543,-0.3938584647553215,45,0,2026-01-01 00:45:00,0,1,0.0,33.0,900402.8823878851,cloud_only_batch_etl
2026-01-01 00:46:00,S0000,energy,residential,edge_residential,1,69.24685749759453,52.40142504785325,0,0,69.749732463816,7.394555065474775,-0.06800610635294192,46,0,2026-01-01 00:45:00,0,1,0.0,33.0,840380.6014250478,cloud_only_batch_etl
2026-01-01 00:47:00,S0000,energy,residential,edge_residential,1,74.28704994349086,82.37907543379539,0,0,70.71185955695344,7.284677857026511,0.4907821548082285,47,0,2026-01-01 00:45:00,0,1,0.0,33.0,780410.5790754338,cloud_only_batch_etl
2026-01-01 00:48:00,S0000,energy,residential,edge_residential,1,76.07675511074052,128.80923680346447,0,0,70.86395562990944,7.388983696031109,0.7054825115054121,48,0,2026-01-01 00:45:00,0,1,0.0,33.0,720457.0092368034,cloud_only_batch_etl
2026-01-01 00:49:00,S0000,energy,residential,edge_residential,1,169.49511498525578,102.90062996453456,1,0,81.5723653430814,31.62510741908651,2.7801564654592896,49,0,2026-01-01 00:45:00,1,1,0.0,33.0,660431.1006299645,cloud_only_batch_etl
2026-01-01 00:50:00,S0000,energy,residential,edge_residential,1,72.01101222755224,57.81981786969461,0,0,82.73419166630018,30.967136153830634,-0.34627609860995745,50,0,2026-01-01 00:45:00,0,1,0.0,33.0,600386.0198178696,cloud_only_batch_etl
